session_count,session_duration,unique_feature_accessed,feature_frequency,task_completion_rate,task_time,error_count,tutorial_accessed,shortcut_used,freq_antrean,freq_riwayat,freq_perubahan_data,label
136.0,61.58,2.0,2.17,1.0,27.71,0.0,0.0,1.0,1.0,1.0,0.0,mahir
105.0,148.48,2.0,2.46,1.0,124.44,1.0,6.0,0.0,1.0,1.0,0.0,pemula
131.0,171.04,1.0,3.0,1.0,118.8,1.0,0.0,0.0,0.0,0.0,3.0,pemula
171.0,87.49,3.0,7.19,1.0,20.8,0.0,0.0,4.0,1.0,2.0,4.0,mahir
164.0,111.0,2.0,6.0,1.0,29.33,0.0,0.0,3.0,1.0,0.0,5.0,mahir
95.0,197.89,2.0,2.12,1.0,119.76,0.0,5.0,0.0,1.0,1.0,0.0,pemula
166.0,89.46,3.0,5.44,1.0,27.12,1.0,0.0,4.0,1.0,1.0,3.0,mahir
132.0,169.0,1.0,3.0,1.0,122.0,1.0,0.0,0.0,0.0,0.0,3.0,pemula
172.0,90.58,3.0,7.48,1.0,20.76,0.0,0.0,4.0,1.0,2.0,4.0,mahir
137.0,69.0,1.0,3.0,1.0,38.0,0.0,0.0,2.0,0.0,0.0,3.0,mahir
101.0,237.77,2.0,2.81,1.0,123.82,1.0,7.0,0.0,1.0,1.0,1.0,pemula
148.0,107.24,2.0,4.25,1.0,41.12,1.0,0.0,2.0,1.0,0.0,3.0,mahir
90.0,200.64,2.0,1.93,1.0,125.27,0.0,6.0,0.0,1.0,1.0,0.0,pemula
162.0,110.62,2.0,5.75,1.0,30.99,0.0,0.0,3.0,1.0,0.0,5.0,mahir
108.0,131.0,2.0,3.0,1.0,104.0,0.0,6.0,0.0,1.0,2.0,0.0,pemula
160.0,102.99,3.0,4.72,1.0,34.98,1.0,0.0,3.0,1.0,1.0,3.0,mahir
144.0,97.59,2.0,3.73,1.0,41.3,1.0,0.0,2.0,1.0,0.0,3.0,mahir
94.0,229.28,2.0,2.0,1.0,133.77,1.0,6.0,1.0,1.0,1.0,0.0,pemula
166.0,101.0,3.0,5.0,1.0,32.0,1.0,0.0,3.0,1.0,1.0,3.0,mahir
110.0,251.8,2.0,3.77,1.0,139.81,1.0,5.0,0.0,0.0,0.0,3.0,pemula
124.0,156.59,1.0,3.0,1.0,116.12,1.0,2.0,0.0,0.0,1.0,2.0,pemula
129.0,212.0,1.0,1.0,1.0,187.0,3.0,6.0,1.0,1.0,0.0,0.0,pemula
168.0,101.0,3.0,5.38,1.0,30.12,1.0,0.0,3.0,1.0,1.0,3.0,mahir
95.0,231.69,2.0,1.98,1.0,135.81,1.0,6.0,1.0,1.0,1.0,0.0,pemula
176.0,101.0,3.0,7.0,1.0,22.0,2.0,0.0,4.0,1.0,1.0,5.0,mahir
136.0,66.64,1.0,2.71,1.0,35.05,0.0,0.0,2.0,0.0,0.0,2.0,mahir
127.0,329.2,3.0,4.81,1.0,130.83,2.0,9.0,0.0,1.0,1.0,3.0,pemula
142.0,74.63,1.0,3.4,1.0,48.46,0.0,0.0,2.0,0.0,0.0,3.0,mahir
149.0,83.0,2.0,4.0,1.0,64.0,0.0,0.0,1.0,0.0,1.0,3.0,mahir
114.0,185.71,1.0,3.0,1.0,126.01,1.0,1.0,0.0,0.0,0.0,3.0,pemula
97.0,198.0,1.0,3.0,1.0,145.0,1.0,3.0,0.0,0.0,0.0,3.0,pemula
167.0,75.0,3.0,6.0,1.0,21.0,0.0,0.0,5.0,1.0,2.0,3.0,mahir
113.0,138.58,2.0,3.0,1.0,107.59,0.0,5.0,0.0,1.0,2.0,1.0,pemula
130.0,338.0,3.0,5.0,1.0,131.5,2.0,9.0,0.0,1.0,1.0,3.0,pemula
176.0,99.66,3.0,6.95,1.0,21.95,2.0,0.0,4.0,1.0,1.0,5.0,mahir
127.0,176.0,1.0,3.0,1.0,111.0,1.0,0.0,0.0,0.0,0.0,3.0,pemula
170.0,102.47,3.0,6.37,1.0,26.32,2.0,0.0,4.0,1.0,1.0,5.0,mahir
90.0,200.61,2.0,1.92,1.0,125.64,0.0,6.0,0.0,1.0,1.0,0.0,pemula
167.0,75.35,3.0,6.01,1.0,21.01,0.0,0.0,5.0,1.0,2.0,3.0,mahir
128.0,162.94,1.0,3.0,1.0,119.13,1.0,1.0,0.0,0.0,0.0,3.0,pemula
148.0,70.24,2.0,3.0,1.0,41.71,0.0,0.0,3.0,1.0,1.0,1.0,mahir
113.0,204.11,1.0,1.0,1.0,183.55,3.0,6.0,1.0,1.0,0.0,0.0,pemula
109.0,203.25,1.0,2.25,1.0,160.74,2.0,4.0,0.0,0.0,0.0,2.0,pemula
92.0,199.72,2.0,1.74,1.0,136.09,1.0,6.0,0.0,1.0,1.0,0.0,pemula
168.0,101.0,3.0,5.48,1.0,29.62,1.0,0.0,3.0,1.0,1.0,3.0,mahir
117.0,152.64,2.0,3.0,1.0,107.37,0.0,3.0,0.0,1.0,1.0,1.0,pemula
145.0,102.32,2.0,3.85,1.0,41.84,1.0,0.0,2.0,1.0,0.0,3.0,mahir
140.0,72.85,1.0,3.27,1.0,45.14,0.0,0.0,2.0,0.0,0.0,3.0,mahir
151.0,78.94,2.0,3.66,1.0,57.23,0.0,0.0,2.0,0.0,1.0,2.0,mahir
171.0,88.03,3.0,7.24,1.0,20.8,0.0,0.0,4.0,1.0,2.0,4.0,mahir
130.0,166.58,1.0,3.0,1.0,120.85,1.0,0.0,0.0,0.0,0.0,3.0,pemula
104.0,205.08,2.0,1.63,1.0,145.5,1.0,6.0,0.0,1.0,1.0,0.0,pemula
103.0,227.06,2.0,1.75,1.0,147.85,1.0,6.0,1.0,1.0,1.0,0.0,pemula
170.0,101.0,3.0,5.75,1.0,28.26,1.0,0.0,3.0,1.0,1.0,4.0,mahir
94.0,197.36,1.0,1.27,1.0,163.9,2.0,6.0,0.0,1.0,0.0,0.0,pemula
173.0,96.58,3.0,7.65,1.0,21.99,0.0,0.0,4.0,1.0,2.0,5.0,mahir
121.0,208.13,1.0,1.0,1.0,185.31,3.0,6.0,1.0,1.0,0.0,0.0,pemula
147.0,80.17,2.0,3.8,1.0,58.75,0.0,0.0,1.0,0.0,1.0,3.0,mahir
98.0,197.12,1.0,3.0,1.0,143.64,1.0,3.0,0.0,0.0,0.0,3.0,pemula
137.0,69.11,1.0,3.01,1.0,38.2,0.0,0.0,2.0,0.0,0.0,3.0,mahir
137.0,69.19,1.0,3.01,1.0,38.35,0.0,0.0,2.0,0.0,0.0,3.0,mahir
127.0,174.99,1.0,3.0,1.0,110.84,1.0,0.0,0.0,0.0,0.0,3.0,pemula
95.0,206.98,1.0,1.31,1.0,166.27,2.0,6.0,0.0,1.0,0.0,0.0,pemula
94.0,232.0,2.0,2.0,1.0,135.0,1.0,6.0,1.0,1.0,1.0,0.0,pemula
93.0,198.78,2.0,1.56,1.0,147.23,1.0,6.0,0.0,1.0,1.0,0.0,pemula
97.0,201.57,1.0,3.06,1.0,144.03,1.0,3.0,0.0,0.0,0.0,3.0,pemula
96.0,196.0,1.0,1.0,1.0,180.0,3.0,6.0,0.0,1.0,0.0,0.0,pemula
130.0,171.75,1.0,3.0,1.0,117.68,1.0,0.0,0.0,0.0,0.0,3.0,pemula
148.0,67.84,2.0,2.68,1.0,38.94,0.0,0.0,2.0,1.0,2.0,0.0,mahir
136.0,63.89,2.0,2.36,1.0,31.61,0.0,0.0,1.0,1.0,1.0,1.0,mahir
167.0,78.4,3.0,5.87,1.0,22.44,0.0,0.0,5.0,1.0,2.0,3.0,mahir
149.0,67.33,2.0,3.81,1.0,24.83,0.0,0.0,3.0,1.0,1.0,1.0,mahir
166.0,97.47,3.0,5.14,1.0,30.51,1.0,0.0,3.0,1.0,1.0,3.0,mahir
95.0,225.09,2.0,2.2,1.0,137.03,1.0,5.0,1.0,1.0,1.0,1.0,pemula
154.0,69.1,3.0,4.31,1.0,23.95,0.0,0.0,3.0,1.0,2.0,2.0,mahir
165.0,104.91,3.0,5.39,1.0,30.96,1.0,0.0,3.0,1.0,1.0,4.0,mahir
154.0,71.0,2.0,3.0,1.0,44.0,0.0,0.0,3.0,1.0,2.0,0.0,mahir
169.0,103.33,3.0,7.02,1.0,24.9,0.0,0.0,4.0,1.0,1.0,5.0,mahir
105.0,212.89,2.0,2.34,1.0,126.81,1.0,4.0,1.0,1.0,1.0,1.0,pemula
