session_count,session_duration,unique_feature_accessed,feature_frequency,task_completion_rate,task_time,error_count,tutorial_accessed,shortcut_used,freq_antrean,freq_riwayat,freq_perubahan_data,label
167,114.63,2,5.18,1.0,30.44,1,1,2,0,0,5,mahir
100,223.11,3,1.97,0.91,122.08,1,7,1,1,1,1,pemula
135,57.82,2,1.92,0.95,26.06,0,0,1,1,1,0,mahir
149,83.0,2,4.0,1.0,64.0,0,0,1,0,1,3,mahir
89,238.38,2,1.72,1.0,130.84,2,6,1,1,1,0,pemula
97,198.0,1,3.0,1.0,145.0,1,3,0,0,0,3,pemula
167,75.0,3,6.0,1.0,21.0,0,0,5,1,2,3,mahir
119,288.96,2,4.91,0.96,115.75,1,5,1,2,1,2,pemula
130,338.0,3,5.0,1.0,131.5,2,9,0,1,1,3,pemula
148,72.85,3,2.7,1.0,43.35,0,0,2,1,1,1,mahir
127,176.0,1,3.0,1.0,111.0,1,0,0,0,0,3,pemula
137,70.43,0,2.78,1.0,32.95,0,0,2,0,1,3,mahir
94,313.28,3,4.5,1.0,118.54,1,5,1,1,2,4,pemula
154,72.48,3,5.86,0.89,19.46,0,0,6,1,2,3,mahir
149,165.36,0,3.17,1.0,122.72,0,0,0,0,0,3,pemula
159,100.63,4,7.14,0.98,22.62,2,1,4,1,1,5,mahir
115,341.25,4,5.21,1.0,119.67,2,9,1,1,2,3,pemula
108,133.09,2,2.86,1.0,100.79,1,5,2,0,2,0,pemula
136,220.81,1,1.12,0.99,193.01,3,6,1,1,0,0,pemula
117,75.63,1,2.9,0.84,34.94,0,1,2,0,0,1,mahir
133,187.62,1,3.2,1.0,111.19,1,0,0,0,0,5,pemula
149,110.04,2,4.25,0.88,46.39,1,2,2,1,0,3,mahir
124,61.38,2,1.86,1.0,29.21,0,0,1,2,0,0,mahir
198,110.66,3,6.15,0.96,22.66,2,1,3,0,1,5,mahir
148,59.17,2,3.41,1.0,43.66,0,1,3,1,2,0,mahir
118,153.24,2,3.25,0.88,99.97,0,6,0,1,0,0,pemula
152,167.55,1,2.75,0.96,110.31,1,0,0,0,0,3,pemula
121,198.0,1,0.97,1.0,178.57,3,6,1,1,0,0,pemula
158,92.75,3,7.4,1.0,21.01,2,0,5,0,0,5,mahir
127,151.36,0,3.16,1.0,112.83,1,0,0,0,0,3,pemula
141,79.19,2,3.83,1.0,61.22,0,1,0,1,2,1,mahir
101,202.12,1,3.19,0.9,129.68,1,3,0,0,0,3,pemula
188,100.54,4,8.71,1.0,21.51,1,0,4,1,3,5,mahir
116,161.83,2,2.86,0.98,99.53,2,0,0,0,3,4,pemula
117,63.44,2,1.84,1.0,29.68,0,0,1,0,0,0,mahir
174,95.93,3,5.72,1.0,30.56,1,0,3,1,1,3,mahir
105,274.05,6,4.62,1.0,119.73,1,7,1,1,1,3,pemula
96,200.04,3,0.99,0.85,179.62,3,6,0,0,1,0,pemula
94,232.0,2,2.0,1.0,135.0,1,6,1,1,1,0,pemula
139,317.47,3,5.06,1.0,151.24,2,9,0,2,2,3,pemula
83,204.89,2,1.69,0.86,115.56,0,5,1,1,1,0,pemula
96,196.0,1,1.0,1.0,180.0,3,6,0,1,0,0,pemula
95,204.36,2,1.69,0.89,122.91,0,6,0,1,1,1,pemula
182,97.49,3,4.88,1.0,30.77,1,0,4,1,2,2,mahir
156,71.18,3,6.57,1.0,20.04,0,0,5,0,3,4,mahir
146,81.47,1,4.22,1.0,69.77,2,0,1,0,1,3,mahir
166,103.19,3,4.49,0.91,34.7,1,0,3,1,1,3,mahir
156,115.6,1,5.65,1.0,27.56,0,0,3,2,0,7,mahir
89,208.99,2,1.98,1.0,135.74,1,6,0,1,1,0,pemula
127,60.38,1,1.85,0.87,28.46,0,0,2,1,1,1,mahir
147,110.42,2,3.64,1.0,42.94,1,0,2,1,1,4,mahir
154,71.0,2,3.0,1.0,44.0,0,0,3,1,2,0,mahir
183,91.29,5,7.75,1.0,21.22,0,0,3,1,2,6,mahir
138,236.61,1,1.08,1.0,175.52,5,6,1,1,0,0,pemula
